tmdb_id,media_type,title,severity,chatgpt_primary,claude_primary,gemini_primary,primary_agreement,chatgpt_secondary,claude_secondary,gemini_secondary,secondary_agreement,chatgpt_tone_tags,claude_tone_tags,gemini_tone_tags,avg_tone_jaccard,chatgpt_pacing,claude_pacing,gemini_pacing,pacing_agreement
1284041,movie,The Last House,low,survival-horror,survival-horror,survival-horror,full,creature-feature,creature-feature,sci-fi-horror,majority,tense|menacing,tense|menacing,tense|menacing,1,moderate,moderate,moderate,full
557,movie,Spider-Man,moderate,superhero,superhero,superhero,full,coming-of-age-drama,coming-of-age-drama,,majority,earnest|playful,earnest|romantic|bittersweet,playful|earnest,0.5,fast,moderate,fast,majority
634649,movie,Spider-Man: No Way Home,moderate,superhero,superhero,superhero,full,adventure-action,,,majority,earnest|tense,bittersweet|uplifting,earnest|tense,0.333,fast,fast,fast,full
931285,movie,Mortal Kombat II,low,martial-arts,martial-arts,martial-arts,full,adventure-action,dark-fantasy,adventure-action,majority,visceral|tense|menacing,visceral|tense,visceral,0.5,fast,fast,fast,full
1481343,movie,The Devil's Mouth,none,survival-horror,survival-horror,survival-horror,full,creature-feature,creature-feature,creature-feature,full,tense|menacing|visceral,tense|visceral,tense|visceral,0.778,fast,fast,fast,full
911430,movie,F1,none,sports-drama,sports-drama,sports-drama,full,,,,full,uplifting|earnest,uplifting|earnest,earnest|tense,0.556,fast,fast,fast,full
980431,movie,Avatar Aang: The Last Airbender,moderate,epic-fantasy,epic-fantasy,epic-fantasy,full,adventure-action,animated-family,animated-family,majority,warm|uplifting|earnest,uplifting|warm|playful,earnest|playful,0.333,fast,fast,fast,full
1339713,movie,Obsession,none,supernatural-horror,supernatural-horror,supernatural-horror,full,psychological-horror,psychological-horror,psychological-horror,full,unsettling|menacing|tense,unsettling|menacing|tense,unsettling|menacing,0.778,moderate,moderate,moderate,full
346,movie,Seven Samurai,moderate,historical-drama,historical-drama,historical-drama,full,adventure-action,martial-arts,martial-arts,majority,gritty|earnest,bittersweet|earnest|gritty,earnest|tense,0.417,moderate,slow,slow,majority
315635,movie,Spider-Man: Homecoming,low,superhero,superhero,superhero,full,coming-of-age-drama,coming-of-age-drama,,majority,playful|earnest|warm,playful|earnest|uplifting,playful|earnest,0.611,fast,fast,fast,full
1314481,movie,The Devil Wears Prada 2,none,workplace-comedy,workplace-comedy,workplace-comedy,full,,,,full,wry,wry|playful|satirical,wry|playful,0.5,moderate,moderate,moderate,full
429617,movie,Spider-Man: Far From Home,low,superhero,superhero,superhero,full,adventure-action,,,majority,playful|earnest,playful|romantic|tense,playful|earnest,0.5,fast,fast,fast,full
569094,movie,Spider-Man: Across the Spider-Verse,moderate,superhero,superhero,superhero,full,adventure-action,,animated-family,none,earnest|tense,stylized|tense|bittersweet,stylized|playful|earnest,0.233,fast,fast,fast,full
454639,movie,Masters of the Universe,moderate,epic-fantasy,sword-and-sorcery,sword-and-sorcery,majority,sword-and-sorcery,epic-fantasy,,none,earnest|menacing,earnest|warm|uplifting,earnest,0.361,fast,fast,fast,full
950396,movie,The Gorge,low,survival-thriller,survival-thriller,survival-thriller,full,romantic-drama,romantic-drama,romantic-drama,full,tense|romantic|menacing,tense|romantic|unsettling,tense|menacing,0.472,moderate,moderate,moderate,full
157336,movie,Interstellar,moderate,hard-sci-fi,hard-sci-fi,hard-sci-fi,full,,family-drama,,majority,cerebral|earnest|tense,cerebral|bittersweet|uplifting,cerebral|earnest|tense,0.467,moderate,slow,moderate,majority
1226863,movie,The Super Mario Galaxy Movie,moderate,adventure-action,adventure-action,animated-family,majority,animated-family,animated-family,adventure-action,majority,playful|warm|uplifting,playful|warm|uplifting,playful|earnest,0.5,fast,fast,fast,full
1598,movie,Cape Fear,moderate,crime-thriller,psychological-thriller,psychological-thriller,majority,psychological-thriller,revenge-thriller,,none,tense|menacing|gritty,menacing|tense|unsettling,menacing|tense,0.611,moderate,moderate,moderate,full
1630409,movie,The Debt Collector,none,action-thriller,action-thriller,action-thriller,full,crime-thriller,crime-thriller,crime-thriller,full,gritty|tense,tense|gritty|bleak,gritty|tense,0.778,fast,fast,fast,full
559,movie,Spider-Man 3,low,superhero,superhero,superhero,full,,,,full,tense|earnest,sentimental|bittersweet|earnest,earnest,0.361,fast,fast,fast,full
1930,movie,The Amazing Spider-Man,moderate,superhero,superhero,superhero,full,coming-of-age-drama,coming-of-age-drama,,majority,earnest|romantic,earnest|bittersweet|romantic,earnest,0.5,fast,moderate,fast,majority
1304313,movie,Lee Cronin's The Mummy,low,supernatural-horror,supernatural-horror,supernatural-horror,full,mystery-thriller,mystery-thriller,,majority,menacing|unsettling|tense,unsettling|menacing|bleak,unsettling|menacing,0.611,moderate,moderate,moderate,full
687163,movie,Project Hail Mary,low,hard-sci-fi,hard-sci-fi,hard-sci-fi,full,puzzle-mystery,alien-first-contact,,none,cerebral|earnest,uplifting|warm|earnest,earnest|cerebral,0.5,moderate,moderate,moderate,full
1698575,movie,"Snoopy Presents: There's No Place Like Home, Snoopy",low,animated-family,animated-family,animated-family,full,,,,full,warm|playful|uplifting,warm|uplifting|playful,warm|playful,0.778,moderate,slow,moderate,majority
238,movie,The Godfather,moderate,gangster,gangster,organized-crime,majority,organized-crime,organized-crime,family-drama,majority,gritty|cynical|menacing,gritty|menacing|tense,gritty|menacing,0.611,moderate,slow,slow,majority
652,movie,Troy,moderate,combat-film,historical-drama,historical-drama,majority,historical-drama,combat-film,combat-film,majority,visceral|tense,bittersweet|gritty|tense,earnest|visceral,0.194,fast,moderate,moderate,majority
